RowIndex,ReportingUnit,ReportingUnitName,DAUNumber,CoNumber,Name_ID,DAUName,CoName
813,DAU26318,DAU26318,263,18,DAU26318 : Madeline Plains - Lassen,Madeline Plains,Lassen
814,DAU02312,DAU02312,23,12,DAU02312 : South Fork Eel - Humboldt,South Fork Eel,Humboldt
815,DAU06335,DAU06335,63,35,DAU06335 : Pacheco-Santa Ana Creeks - San Benito,Pacheco-Santa Ana Creeks,San Benito
820,DAU40223,DAU40223,402,23,DAU40223 : Coyote - Russian River - Mendocino,Coyote - Russian River,Mendocino
822,DAU16311,DAU16311,163,11,DAU16311 : Willows-Arbuckle - Glenn,Willows-Arbuckle,Glenn
823,DAU20224,DAU20224,202,24,DAU20224 : Mariposa - Merced,Mariposa,Merced
824,DAU13745,DAU13745,137,45,DAU13745 : Clear-Cottonwood Creek - Shasta,Clear-Cottonwood Creek,Shasta
825,DAU13645,DAU13645,136,45,DAU13645 : Upper Shasta Lake - Shasta,Upper Shasta Lake,Shasta
828,DAU40123,DAU40123,401,23,DAU40123 : Forsythe - Mendocino,Forsythe,Mendocino
831,DAU03549,DAU03549,35,49,DAU03549 : Lower Russian - Sonoma,Lower Russian,Sonoma
832,DAU08319,DAU08319,83,19,DAU08319 : Los Angeles County - Los Angeles,Los Angeles County,Los Angeles
833,DAU15432,DAU15432,154,32,DAU15432 : Feather River - Plumas,Feather River,Plumas
834,DAU33936,DAU33936,339,36,DAU33936 : Piute - San Bernardino,Piute,San Bernardino
838,DAU21610,DAU21610,216,10,DAU21610 : West Side - Fresno,West Side,Fresno
839,DAU10433,DAU10433,104,33,DAU10433 : Riverside South - Riverside,Riverside South,Riverside
841,DAU09636,DAU09636,96,36,DAU09636 : Orange - San Bernardino,Orange,San Bernardino
845,DAU17209,DAU17209,172,9,DAU17209 : Placer - El Dorado,Placer,El Dorado
848,DAU30836,DAU30836,308,36,DAU30836 : El Mirage - San Bernardino,El Mirage,San Bernardino
851,DAU29736,DAU29736,297,36,DAU29736 : Superior - San Bernardino,Superior,San Bernardino
853,DAU16131,DAU16131,161,31,DAU16131 : Placer Foothill - Placer,Placer Foothill,Placer
855,DAU32636,DAU32636,326,36,DAU32636 : Joshua Tree - San Bernardino,Joshua Tree,San Bernardino
856,DAU13911,DAU13911,139,11,DAU13911 : Stony-Elder Creek Group - Glenn,Stony-Elder Creek Group,Glenn
858,DAU06940,DAU06940,69,40,DAU06940 : Carrizo Plain - San Luis Obispo,Carrizo Plain,San Luis Obispo
860,DAU30615,DAU30615,306,15,DAU30615 : Rosamond-Palmdale - Kern,Rosamond-Palmdale,Kern
862,DAU32336,DAU32336,323,36,DAU32336 : Emerson - San Bernardino,Emerson,San Bernardino
863,DAU32236,DAU32236,322,36,DAU32236 : Means - San Bernardino,Means,San Bernardino
864,DAU25615,DAU25615,256,15,DAU25615 : North Kern - Kern,North Kern,Kern
869,DAU21924,DAU21924,219,24,DAU21924 : San Luis Creek - Merced,San Luis Creek,Merced
871,DAU06640,DAU06640,66,40,DAU06640 : North Coast - San Luis Obispo,North Coast,San Luis Obispo
872,DAU07442,DAU07442,74,42,DAU07442 : Santa Ynez - Santa Barbara,Santa Ynez,Santa Barbara
874,DAU30436,DAU30436,304,36,DAU30436 : Fremont - San Bernardino,Fremont,San Bernardino
876,DAU28714,DAU28714,287,14,DAU28714 : Furnace Creek - Inyo,Furnace Creek,Inyo
879,DAU18648,DAU18648,186,48,DAU18648 : Sacramento Delta - Solano,Sacramento Delta,Solano
880,DAU10033,DAU10033,100,33,DAU10033 : San Bernardino - Riverside,San Bernardino,Riverside
882,DAU25215,DAU25215,252,15,DAU25215 : Grapevine - Kern,Grapevine,Kern
883,DAU14452,DAU14452,144,52,DAU14452 : Los Molinos - Tehama,Los Molinos,Tehama
885,DAU16457,DAU16457,164,57,DAU16457 : Glenn-Knights Landing - Yolo,Glenn-Knights Landing,Yolo
887,DAU14545,DAU14545,145,45,DAU14545 : Cow-Battle Creek - Shasta,Cow-Battle Creek,Shasta
888,DAU13906,DAU13906,139,6,DAU13906 : Stony-Elder Creek Group - Colusa,Stony-Elder Creek Group,Colusa
890,DAU31136,DAU31136,311,36,DAU31136 : Harper - San Bernardino,Harper,San Bernardino
891,DAU17334,DAU17334,173,34,DAU17334 : Sacramento - Sacramento,Sacramento,Sacramento
893,DAU04148,DAU04148,41,48,DAU04148 : Solano - Solano,Solano,Solano
897,DAU25010,DAU25010,250,10,DAU25010 : Los Gatos Creek - Fresno,Los Gatos Creek,Fresno
898,DAU05127,DAU05127,51,27,DAU05127 : Upper Valley - Monterey,Upper Valley,Monterey
901,DAU28126,DAU28126,281,26,DAU28126 : Deep Springs - Mono,Deep Springs,Mono
902,DAU24835,DAU24835,248,35,DAU24835 : Panoche Creek - San Benito,Panoche Creek,San Benito
903,DAU21750,DAU21750,217,50,DAU21750 : Del Puerto Creek - Stanislaus,Del Puerto Creek,Stanislaus
904,DAU05327,DAU05327,53,27,DAU05327 : Arroyo Seco - Northern - Monterey,Arroyo Seco - Northern,Monterey
905,DAU34513,DAU34513,345,13,DAU34513 : Palo Verde - Imperial,Palo Verde,Imperial
907,DAU06540,DAU06540,65,40,DAU06540 : Upper Salinas - San Luis Obispo,Upper Salinas,San Luis Obispo
908,DAU20222,DAU20222,202,22,DAU20222 : Mariposa - Mariposa,Mariposa,Mariposa
910,DAU21850,DAU21850,218,50,DAU21850 : Orestimba Creek - Stanislaus,Orestimba Creek,Stanislaus
912,DAU00753,DAU00753,7,53,DAU00753 : Trinity - Trinity,Trinity,Trinity
919,DAU04827,DAU04827,48,27,DAU04827 : Pressure - Monterey,Pressure,Monterey
920,DAU03749,DAU03749,37,49,DAU03749 : Bodega - Sonoma,Bodega,Sonoma
922,DAU04443,DAU04443,44,43,DAU04443 : San Jose - Santa Clara,San Jose,Santa Clara
923,DAU24416,DAU24416,244,16,DAU24416 : Westlands - Kings,Westlands,Kings
924,DAU17603,DAU17603,176,3,DAU17603 : Consumnes-Mokelumne-Calaveras - Amador,Consumnes-Mokelumne-Calaveras,Amador
926,DAU16029,DAU16029,160,29,DAU16029 : Yuba Foothill - Nevada,Yuba Foothill,Nevada
932,DAU19824,DAU19824,198,24,DAU19824 : Tuolumne-Merced Interstream - Merced,Tuolumne-Merced Interstream,Merced
933,DAU30936,DAU30936,309,36,DAU30936 : Upper Mojave - San Bernardino,Upper Mojave,San Bernardino
936,DAU19201,DAU19201,192,1,DAU19201 : Antioch-Corral Hollow - Alameda,Antioch-Corral Hollow,Alameda
